Unit;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;%;%;%;%;%;%;;;Index;%;%;Index;;%;;%;%;;%;%
Series Id;CPI.Q.C.ia;CPI.Q.C.iaq;CPI.Q.C.iay;CPIT.Q.C.ia;CPIT.Q.C.iaq;CPIT.Q.C.iay;CPIN.Q.C.ia;CPIN.Q.C.iaq;CPIN.Q.C.iay;CPI.Q.C01.ia;CPI.Q.C01.iaq;CPI.Q.C01.iay;CPI.Q.C04.ia;CPI.Q.C04.iaq;CPI.Q.C04.iay;CPI.Q.C07.ia;CPI.Q.C07.iaq;CPI.Q.C07.iay;CPI.Q.C07202.ia;CPI.Q.C07202.iaq;CPI.Q.C07202.iay;CPI.Q.ZC21.ia;CPI.Q.ZC21.iaq;CPI.Q.ZC21.iay;CPI.Q.ZC40.iaq;CPIM.Q.C40T10B17.iay;CPI.Q.ZC41.iaq;CPIW.Q.C41P50B17.iay;CPI.Q.ZC42.iay;CPI.Q.ZC43.iay;CPI.Q.ZC431.iay;CPI.Q.ZC432.iay;HPI.Q.H01T0.ia;HPI.Q.H01T0.iaq;HPI.Q.H01T0.iay;GDE.Q.DY.RS;GDE.Q.DY.rsq;GDE.Q.DY.rsy;PPI06.Q.T0I1.ia;PPI06.Q.T0I1.iaq;PPI06.Q.T0I1.iay;PPI06.Q.T0I2.ia;PPI06.Q.T0I2.iaq;PPI06.Q.T0I2.iay
dez 1995;654;0,6;2,9;;;;;;;610;0,9;1,0;;;;;;;476;0,2;-2,6;;;;;;;;2,0;1,6;0,2;2,9;621;3,7;8,6;748;0,4;1,4;655;0,1;0,6;680;-0,1;0,6
mar 1996;658;0,5;2,2;;;;;;;610;0,0;0,3;;;;;;;481;1,1;-0,8;;;;;;;;1,8;1,6;0,3;2,8;653;5,1;12,8;754;0,8;2,3;657;0,4;0,9;682;0,2;0,8
jun 1996;663;0,8;2,0;;;;;;;616;0,9;0,5;;;;;;;481;0,0;-0,7;;;;;;;;1,9;1,8;0,5;2,9;663;1,6;13,5;758;0,5;2,3;656;-0,2;0,6;681;-0,1;0,3
set 1996;666;0,6;2,4;;;;;;;620;0,8;2,6;;;;;;;481;0,0;1,3;;;;;;;;2,0;1,8;0,5;3,0;662;-0,1;10,5;762;0,5;2,3;656;0,1;0,4;684;0,4;0,4
dez 1996;671;0,7;2,6;;;;;;;624;0,6;2,3;;;;;;;486;1,0;2,1;;;;;;;;2,2;1,9;0,5;3,0;680;2,7;9,5;760;-0,3;1,6;657;0,1;0,4;684;0,1;0,6
mar 1997;669;-0,3;1,8;;;;;;;628;0,7;3,0;;;;;;;485;-0,2;0,8;;;;;;;;2,1;1,8;0,2;3,0;696;2,3;6,6;757;-0,4;0,4;658;0,1;0,1;686;0,2;0,6
jun 1997;670;0,1;1,1;;;;;;;631;0,4;2,4;;;;;;;482;-0,7;0,1;;;;;;;;1,7;1,5;-0,1;2,9;702;0,8;5,8;763;0,8;0,7;656;-0,2;0,1;685;-0,1;0,6
set 1997;673;0,5;1,0;;;;;;;633;0,3;1,9;;;;;;;481;-0,1;0,0;;;;;;;;1,8;1,4;-0,1;2,8;706;0,6;6,5;761;-0,3;-0,1;660;0,5;0,5;687;0,3;0,5
dez 1997;677;0,6;0,8;;;;;;;633;0,0;1,4;;;;;;;485;0,9;-0,1;;;;;;;;1,6;1,4;0,0;2,7;715;1,4;5,1;763;0,3;0,4;663;0,5;0,9;692;0,7;1,1
mar 1998;678;0,2;1,3;;;;;;;643;1,6;2,3;;;;;;;475;-2,1;-2,0;;;;;;;;1,6;1,3;0,2;2,6;709;-0,9;1,8;767;0,5;1,3;660;-0,4;0,4;689;-0,5;0,4
